middle_gold,late_gold
-7.57,0.3
5.33,-17.54
-0.67,5.59
-8.25,-23.15
3.28,4.07
2.62,3.2
7.97,4.73
-7.98,11.98
15.54,38.98
-4.85,-8.28
-18.27,-24.32
2.93,4.63
-1.09,-8.71
-3.99,-2.43
10.21,5.3
19.46,38.65
8.4,7.29
2.96,-16.36
15.35,18.42
-11.58,-13.12
-4.48,-11.93
9.49,25.83
23.01,20.94
-2.69,8.91
-1.46,-17.95
-18.02,-23.27
-14.18,-15.02
-8.72,-27.74
-1.6,5.39
0.25,7.29
8.92,24.43
-8.35,-20.34
-8.12,0.05
0.28,-5.02
-3.26,17.42
-0.11,33.49
-3.32,-8.06
2.61,8.71
40.79,27.81
7.44,5.93
-7.02,-5.47
-4.52,-27.76
3.82,6.67
24.88,32.75
-4.94,-7.47
-6.88,-21.89
-11.23,-14.64
-14.41,8.2
-18.7,-14.77
-3.19,-4.28
0.87,9.14
-8.9,-1.01
-2.96,-12.67
-6.69,-28.46
8.63,29.2
13.75,-3.71
-12.38,-24.4
6.6,20.95
7.76,16.24
-1.07,-4.1
5.44,0.12
-8.06,-9.85
-6.44,-8.72
-6.49,4.05
-19.23,-41.64
0.31,1.06
7.97,21.24
5.28,7.85
0.58,7.85
24.74,33.87
-10.66,-10.07
-3.61,-34.32
5.95,23.33
-18.88,-25.59
-11.05,-6.52
12.18,-7.72
5.54,5.72
-12.1,-24.29
-2.91,-19.96
-12.76,-8.27
8.41,5.42
-26.5,-73.69
18.81,17.63
9.42,20.05
-10.93,-13.5
-10.45,10.82
0.72,7.61
10.62,14.31
13.46,19.71
-3.65,0.71
-1.09,-7.38
-4.25,-2.08
4.47,-1.14
4.49,-9.77
1.24,13.87
-16.03,-6.92
5.42,2.23
2.05,-3.75
2.05,4.04
10.23,11.26
5.01,5.46
-5.53,1.12
22.11,21.7
1.69,13.63
3.06,14.34
-4.09,-2.51
-2.67,15.3
-0.38,-19.27
-5.13,-13.56
-5.9,-23.19
-1.69,-6.91
14.84,4.95
0.46,-7.19
-11.93,-6.97
-10.77,-7.51
14.43,3.49
8.53,5.35
33.07,34.85
9.11,21.63
