Champion,Gold_Data
skarner,"[0.26, 126.61, 385.99, 369.38, 301.26, 316.25, 269.8, 342.81, 330.04, 353.46, 328.49, 291.16, 336.35, 343.47, 359.89, 363.5, 376.93, 336.88, 332.32, 336.88, 318.3, 356.65, 281.06, 303.32, 337.99, 326.28, 370.47, 331.42, 334.46, 306.7]"
viego,"[0.23, 128.42, 413.98, 367.44, 355.63, 295.4, 316.65, 362.21, 400.44, 348.91, 374.86, 344.65, 377.67, 389.67, 395.79, 385.05, 363.53, 395.51, 411.0, 431.81, 402.51, 359.23, 435.21, 424.19, 347.79, 516.51, 372.05, 365.21, 420.34, 341.03]"
yasuo,"[0.0, 121.75, 284.58, 366.83, 348.33, 309.17, 362.75, 335.92, 289.92, 368.83, 321.08, 400.75, 311.92, 360.42, 423.75, 400.83, 523.0, 385.58, 392.08, 391.75, 417.33, 392.92, 327.08, 389.92, 374.33, 426.33, 388.5, 437.92, 410.08, 375.75]"
bard,"[0.51, 71.77, 200.38, 215.65, 201.23, 203.18, 220.75, 211.16, 248.53, 237.44, 243.99, 260.11, 255.7, 234.0, 241.35, 244.59, 243.01, 246.29, 235.46, 245.72, 229.29, 245.04, 266.8, 233.92, 240.73, 270.92, 292.33, 296.01, 259.6, 282.69]"
gangplank,"[0.0, 78.75, 275.67, 388.08, 271.33, 318.92, 391.08, 302.75, 365.5, 428.58, 403.67, 373.83, 471.83, 497.33, 388.17, 513.17, 441.17, 458.42, 625.67, 463.58, 402.33, 511.08, 501.25, 481.92, 470.75, 457.25, 493.83, 323.82, 447.33, 430.12]"
kassadin,"[0.0, 92.8, 316.2, 333.4, 325.6, 287.2, 348.2, 316.0, 397.4, 493.6, 351.6, 403.6, 289.8, 356.6, 237.0, 446.2, 444.4, 392.2, 368.0, 633.0, 403.8, 450.8, 496.2, 487.0, 406.8, 456.6, 449.4, 511.75, 861.0, 413.33]"
sivir,"[0.27, 114.05, 319.44, 348.85, 331.66, 330.55, 382.6, 382.03, 370.64, 391.26, 386.13, 369.65, 468.45, 477.52, 388.75, 488.64, 472.72, 467.87, 517.75, 479.73, 457.87, 484.12, 503.32, 464.09, 523.19, 573.35, 561.29, 548.77, 572.21, 555.43]"
olaf,"[0.5, 95.5, 353.2, 318.9, 397.2, 302.3, 378.5, 303.6, 324.3, 389.7, 372.8, 308.9, 427.5, 570.9, 292.6, 416.6, 413.5, 342.6, 297.9, 474.6, 351.6, 484.2, 392.6, 509.7, 418.2, 390.9, 394.8, 314.4, 374.56, 422.12]"
veigar,"[150.0, 125.0, 284.0, 375.5, 343.0, 321.5, 301.5, 429.0, 303.0, 432.5, 478.0, 377.0, 370.0, 450.5, 475.0, 318.5, 914.5, 452.5, 561.0, 356.0, 352.0, 297.0, 308.0, 343.5, 663.0, 645.0, 549.0, 898.5, 422.0, 843.0]"
syndra,"[1.65, 126.65, 311.41, 371.65, 362.41, 290.94, 374.71, 395.94, 366.12, 436.0, 394.06, 387.12, 421.59, 437.0, 364.35, 541.06, 458.18, 372.41, 442.47, 416.18, 361.0, 540.06, 340.24, 389.82, 336.76, 403.71, 531.82, 441.47, 579.38, 350.73]"
hwei,"[0.22, 127.93, 303.29, 352.33, 354.22, 311.18, 389.33, 371.11, 371.29, 394.33, 409.49, 410.87, 414.16, 469.96, 334.93, 455.38, 397.89, 396.69, 387.22, 385.42, 396.4, 374.58, 390.87, 375.56, 387.49, 409.42, 387.23, 520.47, 448.75, 340.86]"
nunu,"[0.0, 131.0, 398.0, 373.0, 326.0, 307.0, 163.0, 248.0, 334.0, 467.0, 552.0, 508.0, 503.0, 307.0, 273.0, 467.0, 287.0, 241.0, 405.0, 127.0, 143.0, 516.0, 313.0, 891.0, 431.0, 173.0, 257.0, 426.0, 480.0, 143.0]"
chogath,"[0.83, 103.46, 303.42, 340.25, 340.88, 308.04, 334.79, 343.58, 360.21, 355.54, 378.12, 412.79, 383.71, 392.79, 300.92, 465.29, 311.62, 377.5, 343.62, 406.46, 315.96, 413.29, 315.71, 340.62, 337.46, 460.0, 382.91, 428.33, 358.0, 357.62]"
tahm kench,"[1.28, 67.72, 194.11, 198.0, 211.33, 192.11, 238.67, 205.83, 256.56, 241.44, 239.39, 286.33, 249.83, 222.5, 228.61, 198.72, 213.0, 258.17, 196.67, 270.61, 195.28, 211.33, 226.78, 269.17, 240.44, 245.88, 263.88, 187.64, 208.31, 188.7]"
lee sin,"[0.27, 125.95, 385.95, 421.24, 309.62, 327.43, 278.81, 359.38, 345.43, 365.11, 346.62, 363.95, 378.08, 371.76, 392.78, 370.95, 346.84, 397.49, 365.14, 409.41, 319.08, 394.16, 292.14, 341.05, 405.51, 331.76, 477.78, 380.42, 392.36, 277.58]"
mundo,"[0.33, 167.47, 410.27, 331.13, 313.73, 345.33, 281.0, 378.67, 410.0, 440.67, 337.27, 376.93, 407.6, 395.8, 399.07, 370.53, 457.33, 456.07, 352.53, 424.47, 373.93, 396.6, 416.53, 350.4, 426.47, 422.0, 393.79, 463.15, 533.92, 350.67]"
mordekaiser,"[0.0, 90.33, 319.11, 333.33, 301.11, 307.78, 371.33, 403.44, 341.0, 375.0, 338.44, 311.0, 348.0, 368.56, 386.89, 410.0, 530.67, 442.33, 449.33, 284.0, 471.89, 399.67, 476.67, 218.22, 428.22, 493.0, 416.78, 371.33, 348.25, 509.38]"
renata glasc,"[1.19, 71.65, 210.56, 216.92, 208.6, 205.18, 239.15, 226.8, 235.52, 243.9, 247.31, 250.33, 261.49, 255.9, 231.3, 227.2, 238.44, 247.81, 241.51, 225.02, 215.84, 225.67, 237.76, 245.01, 210.8, 261.82, 265.67, 322.77, 288.95, 313.57]"
shen,"[0.71, 65.0, 257.57, 250.76, 252.29, 218.62, 268.62, 259.05, 274.67, 272.57, 277.33, 308.76, 327.86, 303.24, 289.9, 290.33, 313.71, 315.9, 340.24, 301.9, 272.48, 242.19, 273.86, 276.43, 280.95, 341.38, 411.43, 363.5, 228.64, 302.4]"
elise,"[2.07, 76.5, 233.46, 245.04, 243.93, 200.13, 269.13, 230.07, 263.59, 238.22, 277.22, 288.33, 289.8, 279.61, 285.72, 227.37, 219.98, 230.87, 252.39, 214.52, 228.24, 246.57, 264.89, 254.73, 279.0, 268.82, 347.21, 272.87, 300.35, 260.12]"
